model,model_stage,horizon_h,feature,importance,is_neighbor_feature
lightgbm,strong_if_rain,3,pressure_msl_change_6h,1697.0,False
lightgbm,strong_if_rain,3,precipitation_lag_1h,234.0,False
lightgbm,strong_if_rain,3,precipitation_lag_2h,258.0,False
lightgbm,strong_if_rain,3,precipitation_lag_3h,256.0,False
lightgbm,strong_if_rain,3,precipitation_lag_6h,416.0,False
lightgbm,strong_if_rain,3,precipitation_sum_past_3h,257.0,False
lightgbm,strong_if_rain,3,precipitation_sum_past_6h,292.0,False
lightgbm,strong_if_rain,3,precipitation_sum_past_12h,564.0,False
lightgbm,strong_if_rain,3,precipitation_sum_past_24h,852.0,False
lightgbm,strong_if_rain,3,cloud_cover_lag_1h,303.0,False
lightgbm,strong_if_rain,3,cloud_cover_lag_3h,539.0,False
lightgbm,strong_if_rain,3,cloud_cover_lag_6h,457.0,False
lightgbm,strong_if_rain,3,humidity_lag_1h,470.0,False
lightgbm,strong_if_rain,3,humidity_lag_3h,630.0,False
lightgbm,strong_if_rain,3,humidity_lag_6h,929.0,False
lightgbm,strong_if_rain,3,wind_speed_lag_1h,677.0,False
lightgbm,strong_if_rain,3,wind_speed_lag_3h,957.0,False
lightgbm,strong_if_rain,3,hour_sin,734.0,False
lightgbm,strong_if_rain,3,hour_cos,800.0,False
lightgbm,strong_if_rain,3,month_sin,850.0,False
lightgbm,strong_if_rain,3,month_cos,850.0,False
lightgbm,strong_if_rain,3,grid_row,243.0,False
lightgbm,strong_if_rain,3,grid_column,276.0,False
lightgbm,strong_if_rain,3,latitude,38.0,False
lightgbm,strong_if_rain,3,longitude,68.0,False
lightgbm,strong_if_rain,3,neighbor_count,69.0,True
lightgbm,strong_if_rain,3,neighbor_precipitation_mean,365.0,True
lightgbm,strong_if_rain,3,neighbor_precipitation_max,360.0,True
lightgbm,strong_if_rain,3,neighbor_precipitation_sum,119.0,True
lightgbm,strong_if_rain,3,neighbor_rain_count,63.0,True
lightgbm,strong_if_rain,3,neighbor_rain_rate,147.0,True
lightgbm,strong_if_rain,3,neighbor_cloud_cover_mean,400.0,True
lightgbm,strong_if_rain,3,neighbor_cloud_cover_max,175.0,True
lightgbm,strong_if_rain,3,neighbor_relative_humidity_mean,358.0,True
lightgbm,strong_if_rain,3,neighbor_relative_humidity_max,404.0,True
lightgbm,strong_if_rain,3,neighbor_pressure_msl_mean,1213.0,True
lightgbm,strong_if_rain,3,neighbor_pressure_msl_min,921.0,True
lightgbm,strong_if_rain,3,neighbor_pressure_msl_max,793.0,True
lightgbm,strong_if_rain,3,neighbor_temperature_2m_mean,947.0,True
lightgbm,strong_if_rain,3,neighbor_dew_point_2m_mean,1322.0,True
lightgbm,strong_if_rain,3,neighbor_temperature_dew_point_spread_mean,349.0,True
lightgbm,strong_if_rain,3,neighbor_wind_speed_10m_mean,798.0,True
lightgbm,strong_if_rain,3,neighbor_wind_speed_10m_max,715.0,True
lightgbm,strong_if_rain,3,row_minus_precipitation_mean,222.0,True
lightgbm,strong_if_rain,3,row_plus_precipitation_mean,178.0,True
lightgbm,strong_if_rain,3,column_minus_precipitation_mean,211.0,True
lightgbm,strong_if_rain,3,column_plus_precipitation_mean,189.0,True
lightgbm,strong_if_rain,3,row_minus_cloud_cover_mean,281.0,True
lightgbm,strong_if_rain,3,row_plus_cloud_cover_mean,246.0,True
lightgbm,strong_if_rain,3,column_minus_cloud_cover_mean,260.0,True
lightgbm,strong_if_rain,3,column_plus_cloud_cover_mean,236.0,True
lightgbm,strong_if_rain,3,neighbor_precipitation_mean_minus_center,138.0,True
lightgbm,strong_if_rain,3,neighbor_cloud_cover_mean_minus_center,108.0,True
lightgbm,strong_if_rain,3,neighbor_relative_humidity_mean_minus_center,183.0,True
lightgbm,strong_if_rain,3,center_pressure_msl_minus_neighbor_mean,89.0,True
lightgbm,rain_binary,4,temperature_2m,404.0,False
lightgbm,rain_binary,4,relative_humidity_2m,50.0,False
lightgbm,rain_binary,4,pressure_msl,529.0,False
lightgbm,rain_binary,4,surface_pressure,319.0,False
lightgbm,rain_binary,4,dew_point_2m,488.0,False
lightgbm,rain_binary,4,precipitation,18.0,False
lightgbm,rain_binary,4,cloud_cover,35.0,False
lightgbm,rain_binary,4,wind_speed_10m,160.0,False
lightgbm,rain_binary,4,wind_direction_10m,1780.0,False
lightgbm,rain_binary,4,temperature_dew_point_spread,85.0,False
lightgbm,rain_binary,4,pressure_msl_change_3h,1255.0,False
lightgbm,rain_binary,4,pressure_msl_change_6h,1525.0,False
lightgbm,rain_binary,4,precipitation_lag_1h,81.0,False
lightgbm,rain_binary,4,precipitation_lag_2h,132.0,False
lightgbm,rain_binary,4,precipitation_lag_3h,180.0,False
lightgbm,rain_binary,4,precipitation_lag_6h,189.0,False
lightgbm,rain_binary,4,precipitation_sum_past_3h,124.0,False
lightgbm,rain_binary,4,precipitation_sum_past_6h,258.0,False
lightgbm,rain_binary,4,precipitation_sum_past_12h,503.0,False
lightgbm,rain_binary,4,precipitation_sum_past_24h,930.0,False
lightgbm,rain_binary,4,cloud_cover_lag_1h,311.0,False
lightgbm,rain_binary,4,cloud_cover_lag_3h,505.0,False
lightgbm,rain_binary,4,cloud_cover_lag_6h,706.0,False
lightgbm,rain_binary,4,humidity_lag_1h,270.0,False
lightgbm,rain_binary,4,humidity_lag_3h,646.0,False
lightgbm,rain_binary,4,humidity_lag_6h,1079.0,False
