target,season,base_rate,threshold,precision,recall,f1,fired_share
h1_1.0mm,all,0.04780953467897088,0.75,,0.0,0.0,0.0
h1_1.0mm,all,0.04780953467897088,0.8,,0.0,0.0,0.0
h1_1.0mm,all,0.04780953467897088,0.85,,0.0,0.0,0.0
h1_1.0mm,all,0.04780953467897088,0.9,,0.0,0.0,0.0
h1_1.0mm,wet,0.08354320156413875,0.05,0.14079310079310078,0.8855997055233741,0.2429602542706196,0.5254933252191477
h1_1.0mm,wet,0.08354320156413875,0.1,0.20064240808644765,0.6795145010364803,0.3098070909958132,0.2829352850539291
h1_1.0mm,wet,0.08354320156413875,0.15,0.2565682602986236,0.5110041265474553,0.3416158319410447,0.1663920575934534
h1_1.0mm,wet,0.08354320156413875,0.2,0.3133930733833858,0.3760389019121607,0.3418698041425955,0.10024310186324144
h1_1.0mm,wet,0.08354320156413875,0.25,0.3466962979023253,0.3097913478117674,0.3272065030003223,0.07465023759889164
h1_1.0mm,wet,0.08354320156413875,0.3,0.40129999630682867,0.21051204060677683,0.2761582839860726,0.043824694746928045
h1_1.0mm,wet,0.08354320156413875,0.35,0.44823497217914804,0.1428017901079102,0.2165982236653615,0.026615769574393704
h1_1.0mm,wet,0.08354320156413875,0.4,0.48945019273686347,0.09347695526667571,0.15697437982919887,0.015955380611412516
h1_1.0mm,wet,0.08354320156413875,0.45,0.5259174311926605,0.06663502334502198,0.11828326770638099,0.010585127733682071
h1_1.0mm,wet,0.08354320156413875,0.5,0.5653749651519375,0.03928938140535095,0.07347293674371422,0.005805635042923179
h1_1.0mm,wet,0.08354320156413875,0.55,0.604601226993865,0.019092547029079567,0.0370161699250662,0.0026381893281195376
h1_1.0mm,wet,0.08354320156413875,0.6,0.6359550561797753,0.010965379622992426,0.021559030224541493,0.0014404837435744713
h1_1.0mm,wet,0.08354320156413875,0.65,0.6814580031695721,0.0041652943797586064,0.008279978818658836,0.0005106433944918491
h1_1.0mm,wet,0.08354320156413875,0.7,,0.0,0.0,0.0
h1_1.0mm,wet,0.08354320156413875,0.75,,0.0,0.0,0.0
h1_1.0mm,wet,0.08354320156413875,0.8,,0.0,0.0,0.0
h1_1.0mm,wet,0.08354320156413875,0.85,,0.0,0.0,0.0
h1_1.0mm,wet,0.08354320156413875,0.9,,0.0,0.0,0.0
h1_1.0mm,dry,0.011546699253652896,0.05,0.10993126154542142,0.6221906116642959,0.18684921558785522,0.06535218253968254
h1_1.0mm,dry,0.011546699253652896,0.1,0.16275457875457874,0.39502133712660026,0.23052817266784265,0.028024972406181015
h1_1.0mm,dry,0.011546699253652896,0.15,0.20702875399361023,0.2534850640113798,0.22791366906474825,0.014137726006517397
h1_1.0mm,dry,0.011546699253652896,0.2,0.24149260736916217,0.14637268847795162,0.18226906385616862,0.006998646588878377
