target,scheme,month,threshold,base_rate,rows
h3_1.0mm,monthly_precision,6,0.2897804379463196,0.09534412150610314,201208
h3_1.0mm,monthly_precision,7,0.509692370891571,0.12404293794005618,207928
h3_1.0mm,monthly_precision,8,0.381472647190094,0.135781490015361,208320
h3_1.0mm,monthly_precision,9,0.36060717701911926,0.21869047619047619,201600
h3_1.0mm,monthly_precision,10,0.47303709387779236,0.14404761904761904,208320
h3_1.0mm,monthly_precision,11,0.4849715828895569,0.048625992063492066,201600
h3_1.0mm,monthly_precision,12,0.19517283141613007,0.004809907834101382,208320
h6_1.0mm,global_f1,1,0.22822822630405426,0.008006912442396314,208320
h6_1.0mm,global_f1,2,0.22822822630405426,0.034257852077001015,189504
h6_1.0mm,global_f1,3,0.22822822630405426,0.04008256528417819,208320
h6_1.0mm,global_f1,4,0.22822822630405426,0.03961805555555555,201600
h6_1.0mm,global_f1,5,0.22822822630405426,0.1851334485407066,208320
h6_1.0mm,global_f1,6,0.22822822630405426,0.1550832968868037,201208
h6_1.0mm,global_f1,7,0.22822822630405426,0.1902196914316494,207928
h6_1.0mm,global_f1,8,0.22822822630405426,0.2089573732718894,208320
h6_1.0mm,global_f1,9,0.22822822630405426,0.31700396825396826,201600
h6_1.0mm,global_f1,10,0.22822822630405426,0.2181307603686636,208320
h6_1.0mm,global_f1,11,0.22822822630405426,0.07900297619047619,201600
h6_1.0mm,global_f1,12,0.22822822630405426,0.008818164362519202,208320
h6_1.0mm,monthly_f1,1,0.010355835780501366,0.008006912442396314,208320
h6_1.0mm,monthly_f1,2,0.14090535044670105,0.034257852077001015,189504
h6_1.0mm,monthly_f1,3,0.14090535044670105,0.04008256528417819,208320
h6_1.0mm,monthly_f1,4,0.20682533085346222,0.03961805555555555,201600
h6_1.0mm,monthly_f1,5,0.2267669439315796,0.1851334485407066,208320
h6_1.0mm,monthly_f1,6,0.16612516343593597,0.1550832968868037,201208
h6_1.0mm,monthly_f1,7,0.20682533085346222,0.1902196914316494,207928
h6_1.0mm,monthly_f1,8,0.2640334665775299,0.2089573732718894,208320
h6_1.0mm,monthly_f1,9,0.2640334665775299,0.31700396825396826,201600
h6_1.0mm,monthly_f1,10,0.24081578850746155,0.2181307603686636,208320
h6_1.0mm,monthly_f1,11,0.206418976187706,0.07900297619047619,201600
h6_1.0mm,monthly_f1,12,0.02277451381087303,0.008818164362519202,208320
h6_1.0mm,monthly_tss,1,0.0057817320339381695,0.008006912442396314,208320
h6_1.0mm,monthly_tss,2,0.02356293611228466,0.034257852077001015,189504
h6_1.0mm,monthly_tss,3,0.0443418025970459,0.04008256528417819,208320
h6_1.0mm,monthly_tss,4,0.0450606606900692,0.03961805555555555,201600
h6_1.0mm,monthly_tss,5,0.20186585187911987,0.1851334485407066,208320
h6_1.0mm,monthly_tss,6,0.14302277565002441,0.1550832968868037,201208
h6_1.0mm,monthly_tss,7,0.18519875407218933,0.1902196914316494,207928
h6_1.0mm,monthly_tss,8,0.20682533085346222,0.2089573732718894,208320
h6_1.0mm,monthly_tss,9,0.30491214990615845,0.31700396825396826,201600
h6_1.0mm,monthly_tss,10,0.20682533085346222,0.2181307603686636,208320
h6_1.0mm,monthly_tss,11,0.08394500613212585,0.07900297619047619,201600
h6_1.0mm,monthly_tss,12,0.007220896892249584,0.008818164362519202,208320
h6_1.0mm,monthly_precision,1,0.008845331147313118,0.008006912442396314,208320
h6_1.0mm,monthly_precision,2,0.3942839205265045,0.034257852077001015,189504
h6_1.0mm,monthly_precision,3,0.5793327689170837,0.04008256528417819,208320
h6_1.0mm,monthly_precision,4,0.34279999136924744,0.03961805555555555,201600
h6_1.0mm,monthly_precision,5,0.4233990013599396,0.1851334485407066,208320
h6_1.0mm,monthly_precision,6,0.3681640028953552,0.1550832968868037,201208
h6_1.0mm,monthly_precision,7,0.4233990013599396,0.1902196914316494,207928
h6_1.0mm,monthly_precision,8,0.35361430048942566,0.2089573732718894,208320
h6_1.0mm,monthly_precision,9,0.35361430048942566,0.31700396825396826,201600
h6_1.0mm,monthly_precision,10,0.4677858352661133,0.2181307603686636,208320
h6_1.0mm,monthly_precision,11,0.5594876408576965,0.07900297619047619,201600
h6_1.0mm,monthly_precision,12,0.2174023687839508,0.008818164362519202,208320
